+-------------+----------------------------------+-------------------------------------+---------------------------------------+-----------------------------------+
| Values of N | Time Complexity for Naive Search | Time Complexity for BottomUp Search | Time Complexity for ClosedForm Search | Time Complexity for Matrix Search |
+-------------+----------------------------------+-------------------------------------+---------------------------------------+-----------------------------------+
|      14     |      0.00010605299999988382      |        3.179000000130827e-06        |         8.801999999974441e-06         |       1.4394000000139684e-05      |
|      15     |      0.0001613400000000098       |        2.1490000001733733e-06       |         2.274999999940519e-06         |       1.2681999999930582e-05      |
|      16     |      0.00025174599999999714      |        2.0179999999925258e-06       |         1.5890000000240434e-06        |       1.345100000005317e-05       |
|      17     |      0.0004066859999998229       |        1.9789999998742758e-06       |         1.490000000048397e-06         |       1.3692000000009585e-05      |
|      18     |      0.0006703710000000029       |        2.183999999960662e-06        |         2.0599999999149077e-06        |       1.5413000000075172e-05      |
|      19     |      0.0010690470000001007       |        2.068999999993437e-06        |         1.7290000000613759e-06        |       1.4924999999887945e-05      |
|      20     |      0.0016762869999999985       |        2.065000000106565e-06        |         1.5620000000104994e-06        |       1.529199999983355e-05       |
|      21     |       0.002710752999999899       |        2.218000000109299e-06        |         1.7650000001534494e-06        |       1.621100000015474e-05       |
|      22     |       0.004277019999999965       |        2.089999999954628e-06        |         1.9009999998598204e-06        |       1.6167999999927574e-05      |
|      23     |       0.006727024999999998       |        2.060999999997648e-06        |         1.5909999999674795e-06        |       1.647800000004196e-05       |
|      24     |       0.010808895999999901       |        1.9419999999215065e-06       |         1.450999999930147e-06         |       1.669199999998483e-05       |
|      25     |       0.017182412999999785       |        2.067000000050001e-06        |         1.4649999999782892e-06        |       1.748499999987274e-05       |
|      27     |       0.043267595999999964       |        2.0809999998760986e-06       |         1.2670000000269965e-06        |       1.7831999999939896e-05      |
|      30     |       0.18587255800000002        |        7.619999999874949e-06        |         9.565999999905372e-06         |       2.7551999999930743e-05      |
|      34     |        1.2639860969999999        |        7.427999999976009e-06        |         9.155999999954645e-06         |       2.8316000000305763e-05      |
|      39     |             Too Long             |         2.79900000021982e-06        |         1.548999999823053e-06         |       2.6350000000174845e-05      |
|      45     |             Too Long             |        3.1800000002135675e-06       |         1.3870000001858784e-06        |       3.0331000000050068e-05      |
|      52     |             Too Long             |        3.0989999997288464e-06       |         1.1859999999863646e-06        |       3.515999999992303e-05       |
|      60     |             Too Long             |        3.3460000001817036e-06       |         1.1139999998022176e-06        |       4.0341000000054805e-05      |
|      69     |             Too Long             |         3.4919999998273e-06         |         1.2300000000742273e-06        |       4.718699999983755e-05       |
|      79     |             Too Long             |        3.845999999807503e-06        |         1.1829999997381435e-06        |       5.414500000000544e-05       |
